      24,  -0.005188,   0.963499,   0.255692
      40,  -0.007019,   0.960081,   0.255204
      55,  -0.006775,   0.953977,   0.251419
      71,  -0.008362,   0.955686,   0.250076
      87,  -0.004822,   0.961790,   0.253250
     102,  -0.006653,   0.962644,   0.256302
     118,  -0.006653,   0.957517,   0.252640
     134,  -0.005432,   0.955442,   0.251053
     149,  -0.007019,   0.957029,   0.253128
     165,  -0.004334,   0.957517,   0.254105
     180,  -0.005188,   0.961545,   0.253861
     196,  -0.005555,   0.962766,   0.256668
     212,  -0.003723,   0.960203,   0.254593
     227,  -0.006775,   0.956296,   0.252030
     243,  -0.007874,   0.956540,   0.253128
     259,  -0.006775,   0.958616,   0.253495
     274,  -0.006531,   0.960325,   0.252884
     290,  -0.006043,   0.961057,   0.254105
     305,  -0.007996,   0.956784,   0.249832
     321,  -0.006653,   0.957395,   0.252274
     337,  -0.007752,   0.957639,   0.255570
     352,  -0.004700,   0.961179,   0.251663
     368,  -0.005799,   0.958738,   0.256791
     383,  -0.005432,   0.960813,   0.255204
     399,  -0.005188,   0.958372,   0.253739
     415,  -0.006775,   0.957761,   0.254349
     431,  -0.007508,   0.960569,   0.250443
     446,  -0.005555,   0.959226,   0.254105
     462,  -0.004944,   0.958860,   0.252030
     477,  -0.003235,   0.959592,   0.252518
     493,  -0.008118,   0.958860,   0.252640
     509,  -0.008240,   0.958982,   0.256546
     524,  -0.003479,   0.959714,   0.251907
     540,  -0.006653,   0.957029,   0.252030
     555,  -0.004090,   0.959226,   0.257523
     571,  -0.004212,   0.956662,   0.253739
     587,  -0.007752,   0.961423,   0.253250
     602,  -0.005799,   0.958982,   0.253983
     618,  -0.006775,   0.958860,   0.251541
     634,  -0.005066,   0.958127,   0.251785
     649,  -0.005799,   0.960569,   0.253861
     665,  -0.005310,   0.960203,   0.253617
     680,  -0.005310,   0.957517,   0.252884
     696,  -0.006043,   0.959348,   0.253128
     711,  -0.005799,   0.958494,   0.251175
     727,  -0.006409,   0.957395,   0.255082
     743,  -0.007874,   0.958982,   0.253861
     759,  -0.006409,   0.958738,   0.253128
     774,  -0.005921,   0.956418,   0.255448
     790,  -0.005921,   0.957883,   0.253983
     805,  -0.006043,   0.961057,   0.253739
     821,  -0.004944,   0.960203,   0.253617
     837,  -0.004700,   0.958738,   0.254349
     852,  -0.005921,   0.957883,   0.254349
     868,  -0.005432,   0.958860,   0.252396
     883,  -0.006531,   0.955197,   0.252884
     899,  -0.006287,   0.956418,   0.252396
     915,  -0.005921,   0.965086,   0.254715
     930,  -0.005188,   0.956784,   0.253983
     946,  -0.003479,   0.957273,   0.254349
     962,  -0.008240,   0.955564,   0.253617
     977,  -0.006409,   0.958494,   0.254593
     993,  -0.007386,   0.962156,   0.252396
    1008,  -0.006043,   0.954709,   0.251785
    1024,  -0.006165,   0.958860,   0.256180
    1039,  -0.004090,   0.956296,   0.253372
    1055,  -0.006043,   0.954465,   0.252518
    1071,  -0.005066,   0.956662,   0.253617
    1087,  -0.004456,   0.961912,   0.256424
    1102,  -0.005066,   0.962278,   0.254227
    1118,  -0.004090,   0.958494,   0.253739
    1133,  -0.004700,   0.960325,   0.252152
    1149,  -0.005677,   0.956784,   0.252152
    1165,  -0.005188,   0.958616,   0.256302
    1180,  -0.005555,   0.958494,   0.255204
    1196,  -0.000305,   0.956907,   0.248489
    1211,  -0.000916,   0.962644,   0.240310
